Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) ,RealSector
Hungary,PALOTA Bôrdíszmlgyártó Kft.,1996,Services,,, 1.44 ,Industry
Hungary,Józsefvárosi Sütôipari és Kereskedelmi Rt.,1996,Services,,, 1.55 ,Industry
Hungary,PANNONVIN Részvénytársaság,1996,Services,,, 1.57 ,Industry
Hungary,Nitrogénmlvek Rt.,1996,Services,,, 1.60 ,Industry
Hungary,Környei Mezôgazdasági Rt.,1996,Services,,, 1.63 ,Industry
Hungary,Zalaco Sütô- és Édesipari Rt.,1996,Services,,, 1.65 ,Industry
Hungary,BHG-Szekszárd Alkatrészgyártó Kft,1996,Services,,, 1.75 ,Industry
Hungary,BAJAFIL Fonalgyártó és Kereskedelmi Rt.,1996,Services,,, 2.11 ,Industry
Hungary,Zalaegerszegi Ruhagyár Rt.,1996,Services,,, 2.12 ,Industry
Hungary,ALBA-KENYÉR Részvénytársaság,1996,Services,,, 2.13 ,Industry
Hungary,TEJSZOLG Tejipari Szolgáltató Rt.,1996,Services,,, 2.22 ,Industry
Hungary,TÜZÉPKER Építô- és Tüzelôanyagkereskedelmi Rt.,1996,Services,,, 2.38 ,Trade
Hungary,PICK Szegedi Szalámigyár Rt.,1996,Services,,, 2.44 ,Industry
Hungary,Villamosszigetelô és Mlanyaggyár Kft.,1996,Services,,, 2.50 ,Industry
